dataset,train_per_class,train_rows,test_per_class_cap,test_rows,seed,test_selection_seed,schedule,schedule_family,learning_rate,eta0,accuracy,macro_f1,log_loss,fit_seconds,n_iter,convergence_warning_count
ag_news,32,128,500,2000,509,20260830,invscaling_001,invscaling,invscaling,0.001,0.6185,0.6134522961646708,1.3862193517838797,0.006750659000090309,6,0
ag_news,32,128,500,2000,509,20260830,adaptive_001,adaptive,adaptive,0.001,0.632,0.6250756042350349,1.384953985280781,0.00773329300000114,31,0
ag_news,32,128,500,2000,509,20260830,optimal_builtin,optimal,optimal,0.001,0.5965,0.5954385519464271,1.4619306530733656,0.006813657000066087,9,0
ag_news,32,128,500,2000,509,20260830,constant_01,constant,constant,0.01,0.6365,0.6354588599738961,1.135349595913038,0.01132919899987428,165,0
ag_news,32,128,500,2000,509,20260830,adaptive_01,adaptive,adaptive,0.01,0.6365,0.6354588599738961,1.1342307176635584,0.012899142999913238,195,0
ag_news,64,256,500,2000,14,20260830,constant_001,constant,constant,0.001,0.5415,0.5020647997220109,1.3761684481949137,0.01375777799989919,42,0
ag_news,64,256,500,2000,14,20260830,invscaling_001,invscaling,invscaling,0.001,0.701,0.6967072572356012,1.3862037754053453,0.012201004000189641,6,0
ag_news,64,256,500,2000,14,20260830,adaptive_001,adaptive,adaptive,0.001,0.5495,0.510364016348115,1.3757635262702912,0.01499934100002065,67,0
ag_news,64,256,500,2000,14,20260830,optimal_builtin,optimal,optimal,0.001,0.7135,0.7133186884024242,0.9765976062648064,0.012110527999993792,9,0
ag_news,64,256,500,2000,14,20260830,constant_01,constant,constant,0.01,0.7285,0.7267892959086717,1.013312909643692,0.02225609699985398,164,0
ag_news,64,256,500,2000,14,20260830,adaptive_01,adaptive,adaptive,0.01,0.729,0.7273113020700981,1.0118004045051647,0.023962186000062502,194,0
ag_news,64,256,500,2000,52,20260830,constant_001,constant,constant,0.001,0.33,0.2514610037742256,1.3768629790856513,0.013559270000087054,37,0
ag_news,64,256,500,2000,52,20260830,invscaling_001,invscaling,invscaling,0.001,0.7205,0.7162439719315045,1.3862022762616508,0.012441427999874577,6,0
ag_news,64,256,500,2000,52,20260830,adaptive_001,adaptive,adaptive,0.001,0.341,0.27048872332814566,1.3764627168355674,0.014911703999814563,62,0
ag_news,64,256,500,2000,52,20260830,optimal_builtin,optimal,optimal,0.001,0.7055,0.7047631841149912,0.9852996639806927,0.01192200600007709,9,0
ag_news,64,256,500,2000,52,20260830,constant_01,constant,constant,0.01,0.728,0.7261756941621256,1.0094495263788315,0.022293944000011834,164,0
ag_news,64,256,500,2000,52,20260830,adaptive_01,adaptive,adaptive,0.01,0.728,0.7261756941621256,1.0079071627113565,0.024079420999896683,194,0
ag_news,64,256,500,2000,88,20260830,constant_001,constant,constant,0.001,0.5405,0.5085676045701885,1.3776849002696834,0.012931058000049234,37,0
ag_news,64,256,500,2000,88,20260830,invscaling_001,invscaling,invscaling,0.001,0.7075,0.7029106915233674,1.3862043782684028,0.012052609000193115,6,0
ag_news,64,256,500,2000,88,20260830,adaptive_001,adaptive,adaptive,0.001,0.5455,0.5146328089464498,1.3772885878294643,0.014797821000001932,62,0
ag_news,64,256,500,2000,88,20260830,optimal_builtin,optimal,optimal,0.001,0.6825,0.6809303930934435,1.0789299897396454,0.011726340999985041,9,0
ag_news,64,256,500,2000,88,20260830,constant_01,constant,constant,0.01,0.7285,0.725499230094207,1.0117492500760374,0.021557577000066885,164,0
ag_news,64,256,500,2000,88,20260830,adaptive_01,adaptive,adaptive,0.01,0.7285,0.725499230094207,1.0102466283375378,0.02369247199999336,194,0
ag_news,64,256,500,2000,121,20260830,constant_001,constant,constant,0.001,0.3395,0.26744623193551664,1.376902308670204,0.013659153999924456,41,0
ag_news,64,256,500,2000,121,20260830,invscaling_001,invscaling,invscaling,0.001,0.713,0.7088738017941982,1.3862068014841809,0.011933430999988559,6,0
ag_news,64,256,500,2000,121,20260830,adaptive_001,adaptive,adaptive,0.001,0.356,0.2943822784378073,1.376510783471038,0.01537771299990709,66,0
ag_news,64,256,500,2000,121,20260830,optimal_builtin,optimal,optimal,0.001,0.68,0.6785076185399398,1.0318554630155716,0.01176730499992118,10,0
ag_news,64,256,500,2000,121,20260830,constant_01,constant,constant,0.01,0.714,0.7127325338444067,1.0222351596803296,0.022622140000066793,162,0
ag_news,64,256,500,2000,121,20260830,adaptive_01,adaptive,adaptive,0.01,0.714,0.7127325338444067,1.0207653001558075,0.024546726999915336,192,0
ag_news,64,256,500,2000,169,20260830,constant_001,constant,constant,0.001,0.3595,0.2954633433140844,1.3756867382447036,0.014442008000060014,41,0
ag_news,64,256,500,2000,169,20260830,invscaling_001,invscaling,invscaling,0.001,0.6435,0.6327434874500197,1.3861995581212923,0.011972855000067284,6,0
ag_news,64,256,500,2000,169,20260830,adaptive_001,adaptive,adaptive,0.001,0.366,0.3056085159460762,1.3752684665538928,0.015120053999908123,66,0
ag_news,64,256,500,2000,169,20260830,optimal_builtin,optimal,optimal,0.001,0.702,0.7000390179238071,0.9788132380115978,0.012154202999909103,9,0
ag_news,64,256,500,2000,169,20260830,constant_01,constant,constant,0.01,0.724,0.7208593047517375,1.006315077056512,0.02195924800003013,164,0
ag_news,64,256,500,2000,169,20260830,adaptive_01,adaptive,adaptive,0.01,0.724,0.7208593047517375,1.0048369995008442,0.02443246200004978,194,0
ag_news,64,256,500,2000,203,20260830,constant_001,constant,constant,0.001,0.382,0.33658685869125465,1.3779013132914775,0.014007831999833797,32,0
ag_news,64,256,500,2000,203,20260830,invscaling_001,invscaling,invscaling,0.001,0.6735,0.669123855823234,1.3862063049862412,0.01162982800019563,6,0
ag_news,64,256,500,2000,203,20260830,adaptive_001,adaptive,adaptive,0.001,0.402,0.36671150505205685,1.3775088211682782,0.015178847000015594,57,0
ag_news,64,256,500,2000,203,20260830,optimal_builtin,optimal,optimal,0.001,0.6975,0.6962114311922056,1.000716464873603,0.011923170999807553,9,0
ag_news,64,256,500,2000,203,20260830,constant_01,constant,constant,0.01,0.7075,0.7053922364839168,1.022670186718309,0.021697459000051822,160,0
ag_news,64,256,500,2000,203,20260830,adaptive_01,adaptive,adaptive,0.01,0.707,0.7048726845880353,1.021187877352281,0.02361361099997339,190,0
ag_news,64,256,500,2000,247,20260830,constant_001,constant,constant,0.001,0.5735,0.5631141677591295,1.3735705265253386,0.013812171999916245,42,0
ag_news,64,256,500,2000,247,20260830,invscaling_001,invscaling,invscaling,0.001,0.686,0.6808797821579288,1.3861968379991612,0.011717126000121425,6,0
ag_news,64,256,500,2000,247,20260830,adaptive_001,adaptive,adaptive,0.001,0.579,0.5694568270614155,1.3731361241253197,0.015430903999913426,67,0
ag_news,64,256,500,2000,247,20260830,optimal_builtin,optimal,optimal,0.001,0.697,0.6954722424672061,1.0055185309993624,0.011948071000006166,9,0
ag_news,64,256,500,2000,247,20260830,constant_01,constant,constant,0.01,0.7135,0.7107720554487498,1.006011681909653,0.021258729000010135,161,0
ag_news,64,256,500,2000,247,20260830,adaptive_01,adaptive,adaptive,0.01,0.7135,0.7107720554487498,1.0045301713212558,0.023647092999908637,191,0
ag_news,64,256,500,2000,314,20260830,constant_001,constant,constant,0.001,0.5665,0.5372500935694218,1.3767701417712495,0.013416786999869146,43,0
ag_news,64,256,500,2000,314,20260830,invscaling_001,invscaling,invscaling,0.001,0.6955,0.6901393931077754,1.386206195717079,0.011724021999953038,6,0
ag_news,64,256,500,2000,314,20260830,adaptive_001,adaptive,adaptive,0.001,0.572,0.543558635075247,1.3763806802096712,0.01504458599993086,68,0
ag_news,64,256,500,2000,314,20260830,optimal_builtin,optimal,optimal,0.001,0.6895,0.6883677962273005,1.0253792647079158,0.011932465999962005,9,0
ag_news,64,256,500,2000,314,20260830,constant_01,constant,constant,0.01,0.7125,0.7100656285281007,1.0232691568844683,0.022157492999895112,163,0
ag_news,64,256,500,2000,314,20260830,adaptive_01,adaptive,adaptive,0.01,0.7125,0.7100656285281007,1.021794176512296,0.023686741999881633,193,0
