dataset,n_samples,n_features,n_classes,train_per_class,train_rows,test_rows,seed,schedule,schedule_family,learning_rate,eta0,accuracy,macro_f1,log_loss,fit_seconds,n_iter,convergence_warning_count,status
wine,178,13,3,4,12,166,509,invscaling_0003,invscaling,invscaling,0.0003,0.9036144578313253,0.905353126405758,1.09337245089106,0.0012087069990229793,7,0,PASS
wine,178,13,3,4,12,166,509,invscaling_001,invscaling,invscaling,0.001,0.891566265060241,0.8925836816803093,1.0730412855803255,0.0011658299990813248,17,0,PASS
wine,178,13,3,4,12,166,509,invscaling_003,invscaling,invscaling,0.003,0.8855421686746988,0.8871152442491393,0.9678109316782202,0.0012028299970552325,60,0,PASS
wine,178,13,3,4,12,166,509,adaptive_0003,adaptive,adaptive,0.0003,0.9036144578313253,0.9056357929749534,0.7232137047875569,0.0014248860024963506,197,0,PASS
wine,178,13,3,4,12,166,509,adaptive_001,adaptive,adaptive,0.001,0.9156626506024096,0.9171552203374551,0.5135381191491694,0.0013654199938173406,190,0,PASS
wine,178,13,3,4,12,166,509,adaptive_003,adaptive,adaptive,0.003,0.9156626506024096,0.9171552203374551,0.3950783711241654,0.0013373179972404614,140,0,PASS
wine,178,13,3,8,24,154,14,constant_0003,constant,constant,0.0003,0.9545454545454546,0.9557653477394595,0.6067924468592448,0.001637371999095194,179,0,PASS
wine,178,13,3,8,24,154,14,constant_001,constant,constant,0.001,0.961038961038961,0.9636417830083458,0.43255149474178345,0.0015378129974124022,138,0,PASS
wine,178,13,3,8,24,154,14,constant_003,constant,constant,0.003,0.974025974025974,0.9764924218991649,0.3310319090982116,0.001396125997416675,94,0,PASS
wine,178,13,3,8,24,154,14,invscaling_0003,invscaling,invscaling,0.0003,0.9090909090909091,0.9116984631690513,1.0916842935052162,0.0011844330001622438,8,0,PASS
wine,178,13,3,8,24,154,14,invscaling_001,invscaling,invscaling,0.001,0.9155844155844156,0.9187518745040869,1.0617747943432807,0.0012354930004221387,23,0,PASS
wine,178,13,3,8,24,154,14,invscaling_003,invscaling,invscaling,0.003,0.9285714285714286,0.931825325015477,0.9272958930776755,0.0013644730061059818,74,0,PASS
wine,178,13,3,8,24,154,14,adaptive_0003,adaptive,adaptive,0.0003,0.9545454545454546,0.9557653477394595,0.6052560228576211,0.0016296420071739703,199,0,PASS
wine,178,13,3,8,24,154,14,adaptive_001,adaptive,adaptive,0.001,0.961038961038961,0.9636417830083458,0.4309360367123513,0.001593291999597568,163,0,PASS
wine,178,13,3,8,24,154,14,adaptive_003,adaptive,adaptive,0.003,0.974025974025974,0.9764924218991649,0.3293195523940882,0.001686264993622899,119,0,PASS
wine,178,13,3,8,24,154,52,constant_0003,constant,constant,0.0003,0.948051948051948,0.9477350595797579,0.5872597164699787,0.0016543649981031194,179,0,PASS
wine,178,13,3,8,24,154,52,constant_001,constant,constant,0.001,0.9545454545454546,0.9549953314659195,0.3991126715213709,0.001607165002496913,141,0,PASS
wine,178,13,3,8,24,154,52,constant_003,constant,constant,0.003,0.961038961038961,0.9610500610500609,0.289569783405193,0.0014302679992397316,96,0,PASS
wine,178,13,3,8,24,154,52,invscaling_0003,invscaling,invscaling,0.0003,0.935064935064935,0.9349206349206348,1.0915570012401088,0.0011496660008560866,8,0,PASS
wine,178,13,3,8,24,154,52,invscaling_001,invscaling,invscaling,0.001,0.9155844155844156,0.9157725631135606,1.0616083565962808,0.0011838109930977225,24,0,PASS
wine,178,13,3,8,24,154,52,invscaling_003,invscaling,invscaling,0.003,0.9285714285714286,0.9287174023051369,0.9254339921080754,0.0014138470069156028,74,0,PASS
wine,178,13,3,8,24,154,52,adaptive_0003,adaptive,adaptive,0.0003,0.948051948051948,0.9477350595797579,0.5856373612889046,0.001655477004533168,199,0,PASS
wine,178,13,3,8,24,154,52,adaptive_001,adaptive,adaptive,0.001,0.9545454545454546,0.9549953314659195,0.3974087308869375,0.0016466820015921257,166,0,PASS
