dataset,train_split,eval_split,train_per_class,train_rows,test_per_class_cap,test_rows,seed,test_selection_seed,schedule,schedule_family,learning_rate,eta0,accuracy,macro_f1,log_loss,fit_seconds,n_iter,convergence_warning_count,status
ag_news,train,test,64,256,500,2000,52,20260801,optimal_builtin,optimal,optimal,0.001,0.692,0.6898198328916979,1.0362939465414915,0.013264160996186547,9,0,PASS
ag_news,train,test,64,256,500,2000,52,20260801,constant_01,constant,constant,0.01,0.714,0.7100642499691794,1.0276832919683894,0.023957488010637462,162,0,PASS
ag_news,train,test,64,256,500,2000,52,20260801,adaptive_01,adaptive,adaptive,0.01,0.714,0.7100642499691794,1.0262061615404448,0.02611180600069929,192,0,PASS
ag_news,train,test,64,256,500,2000,88,20260801,constant_001,constant,constant,0.001,0.28,0.16204525885484158,1.3753837099384962,0.014975664002122357,44,0,PASS
ag_news,train,test,64,256,500,2000,88,20260801,invscaling_001,invscaling,invscaling,0.001,0.6545,0.6550472784982486,1.3862048740818866,0.013561359999584965,6,0,PASS
ag_news,train,test,64,256,500,2000,88,20260801,adaptive_001,adaptive,adaptive,0.001,0.2855,0.17249761689386878,1.3749845406014742,0.016649878001771867,69,0,PASS
ag_news,train,test,64,256,500,2000,88,20260801,optimal_builtin,optimal,optimal,0.001,0.676,0.6753488678375281,1.0855392891702549,0.013362876008613966,9,0,PASS
ag_news,train,test,64,256,500,2000,88,20260801,constant_01,constant,constant,0.01,0.697,0.6959700711245196,1.0291322957425575,0.025520169001538306,161,0,PASS
ag_news,train,test,64,256,500,2000,88,20260801,adaptive_01,adaptive,adaptive,0.01,0.6975,0.6964674609154804,1.027712118859558,0.026150799996685237,191,0,PASS
ag_news,train,test,64,256,500,2000,121,20260801,constant_001,constant,constant,0.001,0.636,0.6145709792581064,1.3773823103663692,0.015431225998327136,32,0,PASS
ag_news,train,test,64,256,500,2000,121,20260801,invscaling_001,invscaling,invscaling,0.001,0.6635,0.6588598898838165,1.3862058519239366,0.012518447998445481,6,0,PASS
