dataset,train_per_class,train_rows,test_rows,seed,schedule,schedule_family,learning_rate,eta0,power_t,n_iter,t_,final_learning_rate,final_learning_rate_note,test_log_loss,test_macro_f1,convergence_warning_count,max_iter,tol,alpha,class_weight
wine,4,12,166,52,adaptive_003,adaptive,adaptive,0.003,0.5,137,1645.0,0.003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.43033886263109333,0.8987106840765376,0,1000,0.001,0.0001,balanced
wine,4,12,166,88,adaptive_003,adaptive,adaptive,0.003,0.5,140,1681.0,0.003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.45332350168369967,0.9094768342119456,0,1000,0.001,0.0001,balanced
wine,4,12,166,121,adaptive_003,adaptive,adaptive,0.003,0.5,142,1705.0,0.003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.4548602088818809,0.8571669071669071,0,1000,0.001,0.0001,balanced
wine,4,12,166,169,adaptive_003,adaptive,adaptive,0.003,0.5,138,1657.0,0.003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.4678837731773592,0.9047892720306513,0,1000,0.001,0.0001,balanced
wine,4,12,166,203,adaptive_003,adaptive,adaptive,0.003,0.5,147,1765.0,0.003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.36452209153659854,0.9716388785743647,0,1000,0.001,0.0001,balanced
wine,4,12,166,247,adaptive_003,adaptive,adaptive,0.003,0.5,138,1657.0,0.003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.482931053318003,0.8714797747055812,0,1000,0.001,0.0001,balanced
wine,4,12,166,314,adaptive_003,adaptive,adaptive,0.003,0.5,160,1921.0,0.003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.384941678392844,0.9212507203495203,0,1000,0.001,0.0001,balanced
wine,4,12,166,415,adaptive_003,adaptive,adaptive,0.003,0.5,142,1705.0,0.003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.39201602026090315,0.9413841466363593,0,1000,0.001,0.0001,balanced
wine,4,12,166,509,adaptive_003,adaptive,adaptive,0.003,0.5,140,1681.0,0.003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.3950783711241654,0.9171552203374551,0,1000,0.001,0.0001,balanced
wine,8,24,154,14,constant_0003,constant,constant,0.0003,0.5,179,4297.0,0.0003,constant eta0,0.6067924468592448,0.9557653477394595,0,1000,0.001,0.0001,balanced
wine,8,24,154,52,constant_0003,constant,constant,0.0003,0.5,179,4297.0,0.0003,constant eta0,0.5872597164699787,0.9477350595797579,0,1000,0.001,0.0001,balanced
wine,8,24,154,88,constant_0003,constant,constant,0.0003,0.5,174,4177.0,0.0003,constant eta0,0.5958806250169983,0.9460013237791015,0,1000,0.001,0.0001,balanced
wine,8,24,154,121,constant_0003,constant,constant,0.0003,0.5,161,3865.0,0.0003,constant eta0,0.6291674405437216,0.9388918622728547,0,1000,0.001,0.0001,balanced
wine,8,24,154,169,constant_0003,constant,constant,0.0003,0.5,175,4201.0,0.0003,constant eta0,0.620081615878974,0.9497766131848796,0,1000,0.001,0.0001,balanced
wine,8,24,154,203,constant_0003,constant,constant,0.0003,0.5,163,3913.0,0.0003,constant eta0,0.6136042566547804,0.9308361983272234,0,1000,0.001,0.0001,balanced
wine,8,24,154,247,constant_0003,constant,constant,0.0003,0.5,166,3985.0,0.0003,constant eta0,0.5808092816436716,0.9429096344984197,0,1000,0.001,0.0001,balanced
wine,8,24,154,314,constant_0003,constant,constant,0.0003,0.5,163,3913.0,0.0003,constant eta0,0.6263909233818208,0.9247968405863144,0,1000,0.001,0.0001,balanced
wine,8,24,154,415,constant_0003,constant,constant,0.0003,0.5,179,4297.0,0.0003,constant eta0,0.602014362070283,0.9489494977182856,0,1000,0.001,0.0001,balanced
wine,8,24,154,509,constant_0003,constant,constant,0.0003,0.5,155,3721.0,0.0003,constant eta0,0.6195322348081074,0.9378094472162615,0,1000,0.001,0.0001,balanced
wine,8,24,154,14,constant_001,constant,constant,0.001,0.5,138,3313.0,0.001,constant eta0,0.43255149474178345,0.9636417830083458,0,1000,0.001,0.0001,balanced
wine,8,24,154,52,constant_001,constant,constant,0.001,0.5,141,3385.0,0.001,constant eta0,0.3991126715213709,0.9549953314659195,0,1000,0.001,0.0001,balanced
wine,8,24,154,88,constant_001,constant,constant,0.001,0.5,140,3361.0,0.001,constant eta0,0.4139406085198229,0.9333314059568782,0,1000,0.001,0.0001,balanced
wine,8,24,154,121,constant_001,constant,constant,0.001,0.5,132,3169.0,0.001,constant eta0,0.44119998463640747,0.9566857515743932,0,1000,0.001,0.0001,balanced
wine,8,24,154,169,constant_001,constant,constant,0.001,0.5,142,3409.0,0.001,constant eta0,0.44129472172811096,0.9617613310384394,0,1000,0.001,0.0001,balanced
wine,8,24,154,203,constant_001,constant,constant,0.001,0.5,136,3265.0,0.001,constant eta0,0.42540270300278865,0.9497766131848796,0,1000,0.001,0.0001,balanced
wine,8,24,154,247,constant_001,constant,constant,0.001,0.5,143,3433.0,0.001,constant eta0,0.39197000736039966,0.9489494977182856,0,1000,0.001,0.0001,balanced
wine,8,24,154,314,constant_001,constant,constant,0.001,0.5,142,3409.0,0.001,constant eta0,0.43072620974018644,0.9557919580789792,0,1000,0.001,0.0001,balanced
wine,8,24,154,415,constant_001,constant,constant,0.001,0.5,145,3481.0,0.001,constant eta0,0.4097064392266759,0.9549953314659195,0,1000,0.001,0.0001,balanced
