dataset,train_per_class,comparison,left_schedule,right_schedule,n_pairs,mean_delta_macro_f1,std_delta_macro_f1,paired_t_statistic,p_value,p_value_method,holm_p,holm_significant_0_05
ag_news,16,ag_news|budget=16|constant_01_minus_adaptive_01,constant_01,adaptive_01,10,0.00015219893706588383,0.00035770250235332446,1.3455183998389058,0.21137343263712247,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,16,ag_news|budget=16|invscaling_001_minus_adaptive_001,invscaling_001,adaptive_001,10,-0.029296519342270972,0.04392170648327708,-2.1092925583851767,0.06414341164283877,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,16,ag_news|budget=16|invscaling_001_minus_invscaling_01,invscaling_001,invscaling_01,10,-0.0019262228731446451,0.011234215347126455,-0.542205340741373,0.6008422051088141,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,16,ag_news|budget=16|invscaling_001_minus_optimal_builtin,invscaling_001,optimal_builtin,10,-0.02583825324061225,0.04886800852317721,-1.672008609923379,0.12885476372137603,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,16,ag_news|budget=16|optimal_builtin_minus_invscaling_01,optimal_builtin,invscaling_01,10,0.023912030367467606,0.04499605745107192,1.6805134432618902,0.12715824323928165,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,32,ag_news|budget=32|adaptive_001_minus_optimal_builtin,adaptive_001,optimal_builtin,10,0.001180783741064162,0.029248319524332142,0.12766429342208524,0.901221653695833,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,32,ag_news|budget=32|constant_001_minus_adaptive_001,constant_001,adaptive_001,10,-0.00019784872386960917,0.00036355784593236124,-1.720916235437505,0.11937395022122686,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,32,ag_news|budget=32|constant_001_minus_optimal_builtin,constant_001,optimal_builtin,10,0.0009829350171945527,0.02946161928902264,0.10550382230448918,0.9182900692539088,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,32,ag_news|budget=32|constant_01_minus_adaptive_01,constant_01,adaptive_01,10,1.4907685649712121e-05,0.0003678592836578737,0.12815291985057486,0.9008458734695287,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,32,ag_news|budget=32|invscaling_001_minus_optimal_builtin,invscaling_001,optimal_builtin,10,-0.01711974901987313,0.02544072205253335,-2.127982050251729,0.06222524377052059,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,64,ag_news|budget=64|constant_01_minus_adaptive_01,constant_01,adaptive_01,10,-2.4542655449044657e-07,0.0002454981336745595,-0.0031613556439743437,0.9975465718422948,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,64,ag_news|budget=64|invscaling_001_minus_optimal_builtin,invscaling_001,optimal_builtin,10,-0.01427425091269341,0.035321739085673355,-1.2779423082018375,0.23324474769288947,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,64,ag_news|budget=64|optimal_builtin_minus_invscaling_01,optimal_builtin,invscaling_01,10,0.013838387290723776,0.03533511989558681,1.2384512380748802,0.2468773048951263,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
